    Frames    hbonds   rings_3   rings_4   rings_5   rings_6   rings_7   rings_8   rings_9  rings_10
         1      1869         2        80       285       143        18         0         0         0
         2      1886         7        94       284       167        11         0         0         0
         3      1875         6        91       244       161        25         0         0         0
         4      1879         4        89       251       205        20         1         0         0
         5      1872         3        81       268       163        18         0         0         0
         6      1850         3        99       253       159        17         0         0         0
         7      1878         3        91       234       202        13         0         0         0
         8      1875         5        79       259       200        19         0         0         0
         9      1873         7        91       249       186        15         1         0         0
        10      1865         6        91       276       123        19         0         0         0
        11      1856         6        77       256       175        14         0         0         0
        12      1873         5        80       279       163        18         0         0         0
        13      1888         4        87       267       192        13         0         0         0
        14      1874         5        93       250       188        20         0         0         0
        15      1879         3        82       280       205        13         2         0         0
        16      1887         6        80       284       193        19         0         0         0
        17      1883         4        91       269       182        11         0         0         0
        18      1891         4       100       252       178        17         0         0         0
        19      1875         5        91       285       146        14         0         0         0
        20      1868         7        93       250       175        13         1         0         0
        21      1871         7        72       292       175        22         0         0         0
        22      1874         5        88       262       191        15         1         0         0
        23      1875         6        75       274       175        19         1         0         0
        24      1900         6        98       266       182        11         0         0         0
        25      1873         8        98       258       164        15         0         0         0
        26      1880         4        93       265       155        15         0         0         0
        27      1895         8        75       303       166        15         0         0         0
        28      1863         6        85       249       188        16         0         0         0
        29      1873         5        89       257       194        13         1         0         0
        30      1882         4        98       261       206        20         0         0         0
        31      1874         5        92       282       154        20         0         0         0
        32      1870         7        80       288       176        17         0         0         0
        33      1879         3        96       265       184        13         0         0         0
        34      1870         8        80       266       161        22         0         0         0
        35      1862         3        90       247       179        20         0         0         0
        36      1877         7        89       281       195        11         0         0         0
        37      1871         6        91       259       163        13         0         0         0
        38      1879         8        82       265       190        21         0         0         0
        39      1859         6        77       258       168        19         1         0         0
        40      1865         6        83       262       162        20         0         0         0
        41      1857         5        89       274       136        23         1         0         0
        42      1880         2        93       258       201        15         0         0         0
        43      1896        12        90       272       174        14         0         0         0
        44      1885         8        98       275       152        21         0         0         0
        45      1874         4        89       251       164        15         0         0         0
        46      1871         5        86       269       174        22         0         0         0
        47      1881         2        91       257       185        19         0         0         0
        48      1884         6        90       274       165        20         0         0         0
        49      1870         6        97       262       166        19         0         0         0
        50      1872         6        83       273       172        13         0         0         0
        51      1881         9       100       279       169        11         0         0         0
