    Frames    hbonds   rings_3   rings_4   rings_5   rings_6   rings_7   rings_8   rings_9  rings_10
         1      1869         0        20        64        56        23        10         5         0
         2      1886         0        26        65        50        27        15         1         1
         3      1875         1        30        49        57        25        16         5         0
         4      1879         1        22        55        52        20        14         3         0
         5      1872         1        24        47        46        34        17         8         2
         6      1850         0        27        53        44        28        12         3         0
         7      1878         1        23        51        47        35        13         6         2
         8      1875         3        24        57        48        34        13         4         0
         9      1873         1        27        60        60        30        10         8         2
        10      1865         1        17        59        44        27        15         0         1
        11      1856         0        25        62        44        19         6         6         2
        12      1873         0        21        77        53        26        13         2         0
        13      1888         1        21        58        55        31        11         7         3
        14      1874         0        20        55        47        25         6         6         1
        15      1879         0        21        64        39        26        10         5         1
        16      1887         1        21        69        52        25        13         6         1
        17      1883         1        24        60        42        23        14         9         0
        18      1891         0        22        63        67        22        14         1         1
        19      1875         1        27        71        46        32         7         1         0
        20      1868         0        29        49        58        26        13         4         0
        21      1871         0        18        66        39        29         8         5         0
        22      1874         1        24        65        45        17         8         5         4
        23      1875         3        15        58        49        41        14         2         0
        24      1900         1        31        56        65        38         9         0         0
        25      1873         0        22        59        39        31        11         6         2
        26      1880         1        20        53        55        33        14         2         3
        27      1895         1        20        58        53        22        20         3         1
        28      1863         0        16        61        48        28         7         1         1
        29      1873         2        15        62        56        16        27         7         0
        30      1882         1        28        59        56        25        14         5         0
        31      1874         1        27        58        51        29        23         2         2
        32      1870         1        28        47        56        34         9         5         2
        33      1879         1        29        49        65        27        13         1         0
        34      1870         2        25        54        73        22         8         5         0
        35      1862         0        21        52        60        18        17         4         2
        36      1877         0        18        66        55        28        22         4         1
        37      1871         0        20        64        38        43        13         9         1
        38      1879         1        21        46        58        39        10         5         1
        39      1859         1        19        56        49        33        12         4         2
        40      1865         3        18        61        52        23         5         7         6
        41      1857         0        24        55        49        23        10         5         2
        42      1880         0        20        55        67        30         8         2         2
        43      1896         1        27        61        48        29        16         4         1
        44      1885         2        33        67        47        24         9         3         0
        45      1874         0        23        65        54        28        11         5         0
        46      1871         0        16        57        64        27        11         2         0
        47      1881         0        23        50        54        19        16         6         0
        48      1884         0        31        54        41        21        20         3         2
        49      1870         1        27        67        41        26        12         6         2
        50      1872         0        24        54        48        26        12         4         1
        51      1881         1        36        54        58        29         9         7         1
