    Frames    hbonds   rings_3   rings_4   rings_5   rings_6   rings_7   rings_8   rings_9  rings_10
         1      1869         0        20        64        68        66        85       147       149
         2      1886         0        26        68        63        72       102       145       202
         3      1875         1        30        50        67        62        88       116       192
         4      1879         1        22        57        66        55        83       125       165
         5      1872         1        24        49        58        69        93       135       177
         6      1850         0        27        53        63        80        87        97       143
         7      1878         1        23        52        71        77        83       103       190
         8      1875         3        24        59        62        77        97       126       178
         9      1873         1        27        66        73        71        88       120       153
        10      1865         1        17        59        61        60       105       101       144
        11      1856         0        25        65        63        74        91        98       148
        12      1873         0        21        79        69        64        90       118       191
        13      1888         1        21        58        78        70        90       119       183
        14      1874         0        20        58        61        66        84       114       163
        15      1879         0        21        67        53        69        96       109       160
        16      1887         1        22        74        66        62        93       121       156
        17      1883         1        24        63        59        63        76       108       152
        18      1891         0        22        64        86        81        97       141       173
        19      1875         1        27        72        66        82       116       118       183
        20      1868         0        29        51        77        70        94       124       160
        21      1871         0        18        67        54        70        97       110       164
        22      1874         1        24        65        62        59        88       115       160
        23      1875         3        15        61        64        71       100       119       192
        24      1900         1        31        59        79        87        97       125       182
        25      1873         0        22        61        65        67        83       109       181
        26      1880         1        20        56        80        81        96       135       167
        27      1895         1        20        60        65        61       108       127       167
        28      1863         0        16        64        58        78        71       130       141
        29      1873         2        15        62        70        58       108       128       166
        30      1882         1        28        62        70        63       104       130       201
        31      1874         1        27        58        65        78        94       117       157
        32      1870         1        28        52        71        69        70       113       162
        33      1879         1        29        51        81        80        94       120       183
        34      1870         2        25        55        90        74        83       121       170
        35      1862         0        21        55        71        71        90       145       168
        36      1877         0        18        67        75        59       104       139       157
        37      1871         0        20        65        53        76        92       128       161
        38      1879         1        21        48        71        80        71       121       165
        39      1859         1        19        59        62        60        89        92       130
        40      1865         3        18        62        64        64        75       102       135
        41      1857         0        24        59        61        76        88       103       171
        42      1880         0        20        55        84        87        82       154       173
        43      1896         1        27        62        62        77        92       109       174
        44      1885         2        33        70        66        67        90       122       154
        45      1874         0        23        67        74        61        80       132       157
        46      1871         0        16        57        81        76        93       119       151
        47      1881         0        23        51        72        65        82       113       153
        48      1884         0        31        56        62        57        92       110       169
        49      1870         1        27        68        64        67        90        99       157
        50      1872         0        24        54        67        69       101       121       137
        51      1881         1        36        57        73        69        91       135       166
