    Frames    hbonds   rings_3   rings_4   rings_5   rings_6   rings_7   rings_8   rings_9  rings_10
         1      1869         2        80       303       416       702      1270      2681      5219
         2      1886         7        94       316       449       728      1459      2888      5954
         3      1875         6        91       277       460       683      1355      2695      5404
         4      1879         4        89       275       474       693      1344      2594      5636
         5      1872         3        81       302       422       669      1342      2740      5262
         6      1850         3        99       274       401       685      1168      2332      4755
         7      1878         3        91       263       480       721      1284      2615      5461
         8      1875         5        79       282       463       753      1364      2738      5729
         9      1873         7        91       295       472       676      1340      2591      5207
        10      1865         6        91       294       399       677      1291      2438      4947
        11      1856         6        77       292       445       691      1224      2480      5182
        12      1873         5        80       303       481       687      1322      2759      5630
        13      1888         4        87       285       490       785      1426      2804      5992
        14      1874         5        93       281       469       698      1282      2636      5273
        15      1879         3        82       304       477       706      1412      2724      5479
        16      1887         6        81       314       493       705      1398      2808      5783
        17      1883         4        91       288       466       750      1349      2712      5626
        18      1891         4       101       278       495       798      1335      2876      5993
        19      1875         5        91       307       465       704      1382      2806      5492
        20      1868         7        95       268       454       693      1297      2585      5340
        21      1871         7        72       312       443       651      1366      2645      5389
        22      1874         5        88       286       467       667      1317      2553      5358
        23      1875         6        75       295       449       735      1281      2647      5571
        24      1900         6        98       303       496       763      1441      2981      6178
        25      1873         8        98       277       478       708      1333      2722      5321
        26      1880         4        93       294       455       706      1297      2701      5554
        27      1895         8        75       320       486       765      1410      2958      6110
        28      1863         6        85       280       473       657      1180      2601      5052
        29      1873         5        89       286       467       690      1367      2670      5476
        30      1882         4        98       282       489       752      1419      2709      5812
        31      1874         5        92       299       441       702      1324      2710      5370
        32      1870         7        80       311       445       662      1303      2560      5188
        33      1879         3        96       283       489       747      1314      2724      5646
        34      1870         8        80       282       442       714      1244      2598      5382
        35      1862         3        90       275       445       675      1246      2509      5243
        36      1877         7        89       309       484       701      1391      2837      5543
        37      1871         6        91       291       464       691      1327      2651      5381
        38      1879         8        82       280       483       752      1291      2722      5746
        39      1859         6        77       290       450       646      1269      2449      4849
        40      1865         6        83       286       410       685      1228      2554      5216
        41      1857         5        89       305       415       705      1247      2534      5021
        42      1880         2        93       279       463       735      1340      2752      5597
        43      1896        12        90       296       483       810      1420      3026      6248
        44      1885         8        98       311       446       762      1367      2831      5820
        45      1874         4        89       289       446       733      1311      2707      5513
        46      1871         5        86       297       458       712      1326      2617      5607
        47      1881         2        91       281       493       734      1328      2809      5652
        48      1884         6        90       305       471       717      1422      2820      5823
        49      1870         6        97       286       461       681      1366      2699      5478
        50      1872         6        83       305       461       665      1337      2636      5212
        51      1881         9       101       310       461       687      1413      2749      5615
